id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227123665|NCT04331808|EG003|other|Total, other adverse events|0|0|2026-08-29 01:08:18.043549|2026-08-29 01:08:18.043549
227123844|NCT04331808|EG000|serious|Total, serious adverse events|20|63|2026-08-29 01:08:18.10363|2026-08-29 01:08:18.10363
227123845|NCT04331808|EG001|serious|Total, serious adverse events|29|67|2026-08-29 01:08:18.10363|2026-08-29 01:08:18.10363
227123846|NCT04331808|EG002|serious|Total, serious adverse events|31|49|2026-08-29 01:08:18.10363|2026-08-29 01:08:18.10363
227123847|NCT04331808|EG003|serious|Total, serious adverse events|27|43|2026-08-29 01:08:18.10363|2026-08-29 01:08:18.10363
226945781|NCT03548935|EG000|deaths|Total, all-cause mortality|1|1306|2026-08-28 13:50:25.149781|2026-08-28 13:50:25.149781
226945782|NCT03548935|EG001|deaths|Total, all-cause mortality|1|655|2026-08-28 13:50:25.149781|2026-08-28 13:50:25.149781
226945893|NCT03548935|EG000|other|Total, other adverse events|1052|1306|2026-08-28 13:50:25.211434|2026-08-28 13:50:25.211434
226945894|NCT03548935|EG001|other|Total, other adverse events|447|655|2026-08-28 13:50:25.211434|2026-08-28 13:50:25.211434
226946005|NCT03548935|EG000|serious|Total, serious adverse events|128|1306|2026-08-28 13:50:25.25981|2026-08-28 13:50:25.25981
226946006|NCT03548935|EG001|serious|Total, serious adverse events|42|655|2026-08-28 13:50:25.25981|2026-08-28 13:50:25.25981
227506685|NCT03036124|EG000|deaths|Total, all-cause mortality|286|2368|2026-08-30 01:49:37.282648|2026-08-30 01:49:37.282648
227506686|NCT03036124|EG001|deaths|Total, all-cause mortality|333|2368|2026-08-30 01:49:37.282648|2026-08-30 01:49:37.282648
227506811|NCT03036124|EG000|other|Total, other adverse events|299|2368|2026-08-30 01:49:37.334176|2026-08-30 01:49:37.334176
227506812|NCT03036124|EG001|other|Total, other adverse events|325|2368|2026-08-30 01:49:37.334176|2026-08-30 01:49:37.334176
